date,strategy,equity,return_since_tracking_start_pct,position
2026-08-10 00:00:00,"ATR_Vol_Breakout(14,k=1.5)",100332.28,-0.4,-1.0
2026-08-10 00:00:00,"Bollinger_Reversion(20,2sd)",102955.88,0.0,0.0
2026-08-10 00:00:00,Donchian_Breakout(20),107535.44,0.375,1.0
2026-08-10 00:00:00,Engulfing_Reversal(0.3),93071.44,-0.431,-1.0
2026-08-10 00:00:00,Inside_Bar_Breakout(0.6),101525.08,-0.395,-1.0
2026-08-10 00:00:00,MACD_Momentum(12/26/9),74969.13,-0.534,-1.0
2026-08-10 00:00:00,MA_Crossover(10/50),102226.08,-0.392,-1.0
2026-08-10 00:00:00,Opening_Range_Breakout(6),100000.0,0.0,0.0
2026-08-10 00:00:00,"RSI_Reversion(14,30/70)",105713.16,0.0,0.0
2026-08-10 00:00:00,"Supertrend(10,m=3.0)",107034.84,-0.375,-1.0
2026-08-10 00:00:00,"VWAP_Reversion(20,2%)",100988.67,0.399,1.0
2026-08-10 00:00:00,"ZScore_Reversion(20,z=2.0)",108044.6,0.0,0.0
