date,strategy,equity,return_since_tracking_start_pct,position
2026-08-09 00:00:00,"ATR_Vol_Breakout(14,k=1.5)",11604.76,-0.473,1.0
2026-08-09 00:00:00,"Bollinger_Reversion(20,2sd)",3189.66,0.0,0.0
2026-08-09 00:00:00,Donchian_Breakout(20),291034.41,-0.473,1.0
2026-08-09 00:00:00,MACD_Momentum(12/26/9),32465.2,0.224,-1.0
2026-08-09 00:00:00,MA_Crossover(10/50),631953.77,-0.473,1.0
2026-08-09 00:00:00,"RSI_Reversion(14,30/70)",13913.62,0.0,0.0
2026-08-09 00:00:00,"Supertrend(10,m=3.0)",290600.14,-0.473,1.0
2026-08-09 00:00:00,"VWAP_Reversion(20,2%)",125.32,0.0,0.0
2026-08-09 00:00:00,"ZScore_Reversion(20,z=2.0)",8815.25,0.0,0.0
2026-08-10 00:00:00,"ATR_Vol_Breakout(14,k=1.5)",11671.78,0.102,1.0
2026-08-10 00:00:00,"Bollinger_Reversion(20,2sd)",3189.66,0.0,0.0
2026-08-10 00:00:00,Donchian_Breakout(20),292715.18,0.102,1.0
2026-08-10 00:00:00,MACD_Momentum(12/26/9),32277.25,-0.357,-1.0
2026-08-10 00:00:00,MA_Crossover(10/50),635603.46,0.102,1.0
2026-08-10 00:00:00,"RSI_Reversion(14,30/70)",13913.62,0.0,0.0
2026-08-10 00:00:00,"Supertrend(10,m=3.0)",292278.4,0.102,1.0
2026-08-10 00:00:00,"VWAP_Reversion(20,2%)",125.32,0.0,0.0
2026-08-10 00:00:00,"ZScore_Reversion(20,z=2.0)",8815.25,0.0,0.0
