strategy,direction,entry_time,exit_time,entry_price,exit_price,net_pnl
MA_Crossover(10/50),SHORT,2020-09-23 00:00:00,2020-09-26 00:00:00,10534.02,10696.86,-1797.97
MA_Crossover(10/50),LONG,2020-09-26 00:00:00,2021-04-25 00:00:00,10696.86,50048.87,360572.04
MA_Crossover(10/50),SHORT,2021-04-25 00:00:00,2021-05-02 00:00:00,50048.87,57800.04,-72287.2
MA_Crossover(10/50),LONG,2021-05-02 00:00:00,2021-05-14 00:00:00,57800.04,49533.85,-56170.13
MA_Crossover(10/50),SHORT,2021-05-14 00:00:00,2021-07-29 00:00:00,49533.85,40018.11,62709.16
MA_Crossover(10/50),LONG,2021-07-29 00:00:00,2021-09-23 00:00:00,40018.11,43558.49,33744.56
MA_Crossover(10/50),SHORT,2021-09-23 00:00:00,2021-10-04 00:00:00,43558.49,48199.78,-46597.66
MA_Crossover(10/50),LONG,2021-10-04 00:00:00,2021-11-27 00:00:00,48199.78,53731.0,42622.03
MA_Crossover(10/50),SHORT,2021-11-27 00:00:00,2022-03-23 00:00:00,53731.0,42360.22,88528.32
MA_Crossover(10/50),LONG,2022-03-23 00:00:00,2022-04-13 00:00:00,42360.22,40080.63,-28760.7
MA_Crossover(10/50),SHORT,2022-04-13 00:00:00,2022-08-11 00:00:00,40080.63,23953.65,193201.54
MA_Crossover(10/50),LONG,2022-08-11 00:00:00,2022-08-20 00:00:00,23953.65,20837.83,-89481.48
MA_Crossover(10/50),SHORT,2022-08-20 00:00:00,2022-10-29 00:00:00,20837.83,20593.3,5422.3
MA_Crossover(10/50),LONG,2022-10-29 00:00:00,2022-11-10 00:00:00,20593.3,15978.88,-133899.68
MA_Crossover(10/50),SHORT,2022-11-10 00:00:00,2023-01-12 00:00:00,15978.88,17948.02,-57632.73
MA_Crossover(10/50),LONG,2023-01-12 00:00:00,2023-03-10 00:00:00,17948.02,20365.21,52825.87
MA_Crossover(10/50),SHORT,2023-03-10 00:00:00,2023-03-15 00:00:00,20365.21,24669.35,-96992.75
MA_Crossover(10/50),LONG,2023-03-15 00:00:00,2023-05-13 00:00:00,24669.35,26795.05,29747.51
MA_Crossover(10/50),SHORT,2023-05-13 00:00:00,2023-06-22 00:00:00,26795.05,30009.38,-47297.39
MA_Crossover(10/50),LONG,2023-06-22 00:00:00,2023-08-05 00:00:00,30009.38,29115.26,-10917.94
MA_Crossover(10/50),SHORT,2023-08-05 00:00:00,2023-08-09 00:00:00,29115.26,29771.55,-8211.36
MA_Crossover(10/50),LONG,2023-08-09 00:00:00,2023-08-17 00:00:00,29771.55,28731.97,-11935.01
MA_Crossover(10/50),SHORT,2023-08-17 00:00:00,2023-10-03 00:00:00,28731.97,27495.22,12479.32
MA_Crossover(10/50),LONG,2023-10-03 00:00:00,2024-01-23 00:00:00,27495.22,39562.94,139416.62
MA_Crossover(10/50),SHORT,2024-01-23 00:00:00,2024-01-31 00:00:00,39562.94,42943.01,-40436.83
MA_Crossover(10/50),LONG,2024-01-31 00:00:00,2024-04-29 00:00:00,42943.01,63122.53,195530.32
