strategy,direction,entry_time,exit_time,entry_price,exit_price,net_pnl
MA_Crossover(10/50),SHORT,2026-08-06 12:30:00,2026-08-06 15:00:00,64552.35,64774.57,-594.71
MA_Crossover(10/50),LONG,2026-08-06 15:00:00,2026-08-06 18:45:00,64774.57,64414.22,-800.86
MA_Crossover(10/50),SHORT,2026-08-06 18:45:00,2026-08-07 08:45:00,64414.22,64632.03,-580.38
MA_Crossover(10/50),LONG,2026-08-07 08:45:00,2026-08-07 18:00:00,64632.03,64769.03,-37.57
MA_Crossover(10/50),SHORT,2026-08-07 18:00:00,2026-08-07 18:15:00,64769.03,64854.71,-374.78
MA_Crossover(10/50),LONG,2026-08-07 18:15:00,2026-08-07 18:45:00,64854.71,64724.34,-440.03
MA_Crossover(10/50),SHORT,2026-08-07 18:45:00,2026-08-07 19:30:00,64724.34,64945.7,-575.71
MA_Crossover(10/50),LONG,2026-08-07 19:30:00,2026-08-08 22:15:00,64945.7,64995.63,-167.35
MA_Crossover(10/50),SHORT,2026-08-08 22:15:00,2026-08-09 10:45:00,64995.63,64941.58,-160.81
Donchian_Breakout(20),SHORT,2026-08-06 23:30:00,2026-08-07 08:45:00,64255.25,64632.03,-837.14
Donchian_Breakout(20),LONG,2026-08-07 08:45:00,2026-08-07 17:15:00,64632.03,64694.39,-152.38
Donchian_Breakout(20),SHORT,2026-08-07 17:15:00,2026-08-08 03:30:00,64694.39,65029.86,-761.61
Donchian_Breakout(20),LONG,2026-08-08 03:30:00,2026-08-08 19:15:00,65029.86,65021.34,-258.51
Donchian_Breakout(20),SHORT,2026-08-08 19:15:00,2026-08-09 08:15:00,65021.34,64922.02,-95.14
MACD_Momentum(12/26/9),SHORT,2026-08-06 19:00:00,2026-08-07 01:15:00,64421.79,64363.17,-158.92
MACD_Momentum(12/26/9),LONG,2026-08-07 01:15:00,2026-08-07 04:15:00,64363.17,64312.58,-328.01
MACD_Momentum(12/26/9),SHORT,2026-08-07 04:15:00,2026-08-07 06:00:00,64312.58,64332.93,-280.34
MACD_Momentum(12/26/9),LONG,2026-08-07 06:00:00,2026-08-07 14:00:00,64332.93,65009.25,793.8
MACD_Momentum(12/26/9),SHORT,2026-08-07 14:00:00,2026-08-07 19:45:00,65009.25,64967.86,-186.33
MACD_Momentum(12/26/9),LONG,2026-08-07 19:45:00,2026-08-07 22:45:00,64967.86,64879.95,-384.56
MACD_Momentum(12/26/9),SHORT,2026-08-07 22:45:00,2026-08-08 01:45:00,64879.95,64936.7,-335.77
MACD_Momentum(12/26/9),LONG,2026-08-08 01:45:00,2026-08-08 02:15:00,64936.7,64906.3,-294.17
MACD_Momentum(12/26/9),SHORT,2026-08-08 02:15:00,2026-08-08 03:15:00,64906.3,64934.12,-289.51
MACD_Momentum(12/26/9),LONG,2026-08-08 03:15:00,2026-08-08 06:15:00,64934.12,64980.51,-176.06
MACD_Momentum(12/26/9),SHORT,2026-08-08 06:15:00,2026-08-08 09:30:00,64980.51,65017.59,-302.13
MACD_Momentum(12/26/9),LONG,2026-08-08 09:30:00,2026-08-08 10:00:00,65017.59,64989.16,-288.0
MACD_Momentum(12/26/9),SHORT,2026-08-08 10:00:00,2026-08-08 10:30:00,64989.16,65025.09,-298.58
MACD_Momentum(12/26/9),LONG,2026-08-08 10:30:00,2026-08-08 11:30:00,65025.09,64975.95,-317.28
MACD_Momentum(12/26/9),SHORT,2026-08-08 11:30:00,2026-08-08 13:30:00,64975.95,65021.4,-310.96
MACD_Momentum(12/26/9),LONG,2026-08-08 13:30:00,2026-08-08 16:45:00,65021.4,65060.85,-183.45
MACD_Momentum(12/26/9),SHORT,2026-08-08 16:45:00,2026-08-08 17:15:00,65060.85,65121.54,-331.96
MACD_Momentum(12/26/9),LONG,2026-08-08 17:15:00,2026-08-08 18:30:00,65121.54,65041.22,-359.51
MACD_Momentum(12/26/9),SHORT,2026-08-08 18:30:00,2026-08-09 01:15:00,65041.22,64984.35,-155.93
MACD_Momentum(12/26/9),LONG,2026-08-09 01:15:00,2026-08-09 01:30:00,64984.35,64863.02,-418.22
MACD_Momentum(12/26/9),SHORT,2026-08-09 01:30:00,2026-08-09 04:30:00,64863.02,64834.95,-197.18
MACD_Momentum(12/26/9),LONG,2026-08-09 04:30:00,2026-08-09 16:30:00,64834.95,65198.85,295.62
"RSI_Reversion(14,30/70)",LONG,2026-08-06 23:30:00,2026-08-07 00:00:00,64255.25,64331.44,-131.61
"RSI_Reversion(14,30/70)",SHORT,2026-08-07 09:30:00,2026-08-07 10:00:00,64834.74,64838.18,-255.01
"RSI_Reversion(14,30/70)",SHORT,2026-08-07 10:30:00,2026-08-07 10:45:00,64895.7,64866.51,-204.2
"RSI_Reversion(14,30/70)",SHORT,2026-08-07 11:15:00,2026-08-07 12:30:00,64965.5,65130.69,-501.64
"RSI_Reversion(14,30/70)",SHORT,2026-08-07 12:45:00,2026-08-07 13:15:00,65159.14,65211.86,-327.42
"RSI_Reversion(14,30/70)",LONG,2026-08-09 01:30:00,2026-08-09 01:45:00,64863.02,64892.64,-201.52
"RSI_Reversion(14,30/70)",LONG,2026-08-09 02:15:00,2026-08-09 03:00:00,64853.15,64816.0,-302.26
"RSI_Reversion(14,30/70)",LONG,2026-08-09 03:15:00,2026-08-09 03:30:00,64731.46,64778.8,-173.58
"RSI_Reversion(14,30/70)",SHORT,2026-08-09 13:30:00,2026-08-09 14:45:00,65087.09,65171.88,-372.49
"RSI_Reversion(14,30/70)",SHORT,2026-08-09 15:00:00,2026-08-09 15:30:00,65264.81,65228.97,-190.23
"Bollinger_Reversion(20,2sd)",LONG,2026-08-06 23:30:00,2026-08-07 01:30:00,64255.25,64427.28,17.36
"Bollinger_Reversion(20,2sd)",LONG,2026-08-07 05:30:00,2026-08-07 06:00:00,64182.66,64332.93,-16.2
"Bollinger_Reversion(20,2sd)",SHORT,2026-08-07 08:45:00,2026-08-07 14:00:00,64632.03,65009.25,-834.41
"Bollinger_Reversion(20,2sd)",LONG,2026-08-07 17:15:00,2026-08-07 19:30:00,64694.39,64945.7,136.79
"Bollinger_Reversion(20,2sd)",SHORT,2026-08-08 03:30:00,2026-08-08 06:30:00,65029.86,64973.99,-162.87
"Bollinger_Reversion(20,2sd)",SHORT,2026-08-08 14:15:00,2026-08-08 18:30:00,65064.99,65041.22,-211.62
"Bollinger_Reversion(20,2sd)",LONG,2026-08-08 19:15:00,2026-08-08 20:00:00,65021.34,65074.34,-166.82
"Bollinger_Reversion(20,2sd)",LONG,2026-08-08 22:45:00,2026-08-09 06:15:00,64973.08,64817.72,-482.8
"Bollinger_Reversion(20,2sd)",SHORT,2026-08-09 08:15:00,2026-08-09 08:45:00,64922.02,64786.07,-39.67
"Bollinger_Reversion(20,2sd)",SHORT,2026-08-09 10:15:00,2026-08-09 18:00:00,64951.33,65194.58,-614.01
"ZScore_Reversion(20,z=2.0)",LONG,2026-08-06 23:30:00,2026-08-07 01:15:00,64255.25,64363.17,-82.29
"ZScore_Reversion(20,z=2.0)",LONG,2026-08-07 05:30:00,2026-08-07 06:00:00,64182.66,64332.93,-16.18
"ZScore_Reversion(20,z=2.0)",SHORT,2026-08-07 08:45:00,2026-08-07 14:00:00,64632.03,65009.25,-833.58
"ZScore_Reversion(20,z=2.0)",LONG,2026-08-07 17:15:00,2026-08-07 18:15:00,64694.39,64854.71,-2.51
"ZScore_Reversion(20,z=2.0)",SHORT,2026-08-08 03:30:00,2026-08-08 06:00:00,65029.86,64995.41,-195.15
"ZScore_Reversion(20,z=2.0)",SHORT,2026-08-08 14:15:00,2026-08-08 15:45:00,65064.99,65061.33,-241.64
"ZScore_Reversion(20,z=2.0)",LONG,2026-08-08 19:15:00,2026-08-08 20:00:00,65021.34,65074.34,-166.31
"ZScore_Reversion(20,z=2.0)",LONG,2026-08-08 22:45:00,2026-08-09 01:00:00,64973.08,64981.24,-233.84
"ZScore_Reversion(20,z=2.0)",LONG,2026-08-09 01:30:00,2026-08-09 04:30:00,64863.02,64834.95,-288.06
"ZScore_Reversion(20,z=2.0)",SHORT,2026-08-09 08:15:00,2026-08-09 09:00:00,64922.02,64823.15,-95.54
"ZScore_Reversion(20,z=2.0)",SHORT,2026-08-09 10:15:00,2026-08-09 17:45:00,64951.33,65229.85,-664.74
"ATR_Vol_Breakout(14,k=1.5)",LONG,2026-08-07 08:45:00,2026-08-07 14:00:00,64632.03,65009.25,332.88
"ATR_Vol_Breakout(14,k=1.5)",SHORT,2026-08-07 14:00:00,2026-08-07 14:30:00,65009.25,65189.95,-530.1
"ATR_Vol_Breakout(14,k=1.5)",LONG,2026-08-07 14:30:00,2026-08-09 01:30:00,65189.95,64863.02,-749.43
"ATR_Vol_Breakout(14,k=1.5)",SHORT,2026-08-09 01:30:00,2026-08-09 08:15:00,64863.02,64922.02,-337.88
"ATR_Vol_Breakout(14,k=1.5)",LONG,2026-08-09 08:15:00,2026-08-09 08:45:00,64922.02,64786.07,-453.28
"ATR_Vol_Breakout(14,k=1.5)",SHORT,2026-08-09 08:45:00,2026-08-09 10:00:00,64786.07,64880.5,-389.09
