strategy,direction,entry_time,exit_time,entry_price,exit_price,net_pnl
MA_Crossover(10/50),SHORT,2016-08-11 00:00:00,2016-08-12 00:00:00,2172.5,2181.75,-48.25
MA_Crossover(10/50),LONG,2016-08-12 00:00:00,2016-09-02 00:00:00,2181.75,2166.25,-79.5
MA_Crossover(10/50),SHORT,2016-09-02 00:00:00,2016-09-07 00:00:00,2166.25,2185.25,-97.0
MA_Crossover(10/50),LONG,2016-09-07 00:00:00,2016-09-12 00:00:00,2185.25,2121.75,-319.5
MA_Crossover(10/50),SHORT,2016-09-12 00:00:00,2016-11-16 00:00:00,2121.75,2179.0,-288.25
MA_Crossover(10/50),LONG,2016-11-16 00:00:00,2018-02-12 00:00:00,2179.0,2628.25,2244.25
MA_Crossover(10/50),SHORT,2018-02-12 00:00:00,2018-02-26 00:00:00,2628.25,2751.5,-618.25
MA_Crossover(10/50),LONG,2018-02-26 00:00:00,2018-03-23 00:00:00,2751.5,2645.75,-530.75
MA_Crossover(10/50),SHORT,2018-03-23 00:00:00,2018-05-14 00:00:00,2645.75,2727.25,-409.5
MA_Crossover(10/50),LONG,2018-05-14 00:00:00,2018-10-12 00:00:00,2727.25,2748.5,104.25
MA_Crossover(10/50),SHORT,2018-10-12 00:00:00,2019-01-28 00:00:00,2748.5,2660.0,440.5
MA_Crossover(10/50),LONG,2019-01-28 00:00:00,2019-05-24 00:00:00,2660.0,2821.75,806.75
MA_Crossover(10/50),SHORT,2019-05-24 00:00:00,2019-06-13 00:00:00,2821.75,2882.0,-303.25
MA_Crossover(10/50),LONG,2019-06-13 00:00:00,2019-08-07 00:00:00,2882.0,2873.75,-43.25
MA_Crossover(10/50),SHORT,2019-08-07 00:00:00,2019-09-09 00:00:00,2873.75,2980.25,-534.5
MA_Crossover(10/50),LONG,2019-09-09 00:00:00,2019-10-04 00:00:00,2980.25,2911.5,-345.75
MA_Crossover(10/50),SHORT,2019-10-04 00:00:00,2019-10-16 00:00:00,2911.5,2996.5,-427.0
MA_Crossover(10/50),LONG,2019-10-16 00:00:00,2020-02-28 00:00:00,2996.5,2950.0,-234.5
MA_Crossover(10/50),SHORT,2020-02-28 00:00:00,2020-04-30 00:00:00,2950.0,2956.5,-34.5
MA_Crossover(10/50),LONG,2020-04-30 00:00:00,2020-09-25 00:00:00,2956.5,3243.5,1433.0
MA_Crossover(10/50),SHORT,2020-09-25 00:00:00,2020-10-01 00:00:00,3243.5,3344.75,-508.25
MA_Crossover(10/50),LONG,2020-10-01 00:00:00,2020-11-02 00:00:00,3344.75,3260.0,-425.75
