strategy,direction,entry_time,exit_time,entry_price,exit_price,net_pnl
MA_Crossover(10/50),SHORT,2020-09-23 00:00:00,2020-09-24 00:00:00,344.63,349.0,-4576.24
Donchian_Breakout(20),LONG,2020-10-13 00:00:00,2020-10-14 00:00:00,386.29,378.71,-6644.94
MACD_Momentum(12/26/9),LONG,2020-10-19 00:00:00,2020-10-20 00:00:00,378.06,368.55,-8302.86
"Parabolic_SAR(af=0.02,max=0.2)",SHORT,2020-09-24 00:00:00,2020-09-24 00:00:00,320.91,349.0,-27061.22
"RSI_Reversion(14,30/70)",LONG,2020-10-07 00:00:00,2020-10-12 00:00:00,340.97,374.32,28538.48
"RSI_Reversion(14,30/70)",SHORT,2020-11-22 00:00:00,2020-11-23 00:00:00,552.44,610.26,-41388.1
"Bollinger_Reversion(20,2sd)",SHORT,2020-10-13 00:00:00,2020-10-18 00:00:00,386.29,378.18,5540.72
"ZScore_Reversion(20,z=2.0)",SHORT,2020-10-13 00:00:00,2020-10-17 00:00:00,386.29,365.6,15322.79
"ZScore_Reversion(20,z=2.0)",SHORT,2020-10-23 00:00:00,2020-10-27 00:00:00,413.93,403.53,7821.69
"Stochastic_Reversion(14,20/80)",SHORT,2020-10-13 00:00:00,2020-10-18 00:00:00,386.29,378.18,5540.72
"CCI_Reversion(20,100)",SHORT,2020-10-12 00:00:00,2020-10-12 00:00:00,374.32,386.68,-10684.37
"ATR_Vol_Breakout(14,k=1.5)",LONG,2020-11-07 00:00:00,2020-11-07 00:00:00,456.12,435.12,-14558.04
"Supertrend(10,m=3.0)",SHORT,2020-10-02 00:00:00,2020-10-04 00:00:00,353.03,352.35,-188.42
"Keltner_Breakout(20,m=2.0)",LONG,2020-10-23 00:00:00,2020-10-25 00:00:00,413.93,406.04,-6475.71
"VWAP_Reversion(20,2%)",SHORT,2020-10-12 00:00:00,2020-10-12 00:00:00,374.32,386.68,-10684.37
Engulfing_Reversal(0.3),LONG,2020-09-30 00:00:00,2020-10-01 00:00:00,360.1,353.23,-6482.92
Inside_Bar_Breakout(0.6),LONG,2020-11-21 00:00:00,2020-11-25 00:00:00,510.31,569.6,34049.96
VolProfile_Reversion(30),SHORT,2020-10-23 00:00:00,2020-10-26 00:00:00,413.93,405.91,5055.35
VolProfile_Reversion(30),SHORT,2020-11-06 00:00:00,2020-11-06 00:00:00,417.3,456.07,-30120.68
"TPO_Reversion(60,p=5)",SHORT,2020-11-22 00:00:00,2020-11-23 00:00:00,552.44,610.26,-32198.99
