strategy,direction,entry_time,exit_time,entry_price,exit_price,net_pnl
MA_Crossover(10/50),SHORT,2026-05-31 22:15:00,2026-05-31 22:20:00,4565.0,4567.10009765625,-22.7
MA_Crossover(10/50),LONG,2026-05-31 22:20:00,2026-05-31 22:25:00,4567.10009765625,4563.7001953125,-35.7
MA_Crossover(10/50),SHORT,2026-05-31 22:25:00,2026-05-31 22:50:00,4563.7001953125,4568.89990234375,-53.7
MA_Crossover(10/50),LONG,2026-05-31 22:50:00,2026-06-01 01:10:00,4568.89990234375,4559.89990234375,-91.7
MA_Crossover(10/50),SHORT,2026-06-01 01:10:00,2026-06-01 10:50:00,4559.89990234375,4539.2001953125,205.3
MA_Crossover(10/50),LONG,2026-06-01 10:50:00,2026-06-01 12:40:00,4539.2001953125,4533.39990234375,-59.7
MA_Crossover(10/50),SHORT,2026-06-01 12:40:00,2026-06-01 12:45:00,4533.39990234375,4537.2998046875,-40.7
MA_Crossover(10/50),LONG,2026-06-01 12:45:00,2026-06-01 13:05:00,4537.2998046875,4531.89990234375,-55.7
MA_Crossover(10/50),SHORT,2026-06-01 13:05:00,2026-06-01 17:15:00,4531.89990234375,4505.10009765625,266.3
MA_Crossover(10/50),LONG,2026-06-01 17:15:00,2026-06-01 22:35:00,4505.10009765625,4511.0,57.3
MA_Crossover(10/50),SHORT,2026-06-01 22:35:00,2026-06-01 22:50:00,4511.0,4513.89990234375,-30.7
MA_Crossover(10/50),LONG,2026-06-01 22:50:00,2026-06-02 00:10:00,4513.89990234375,4508.39990234375,-56.7
MA_Crossover(10/50),SHORT,2026-06-02 00:10:00,2026-06-02 00:25:00,4508.39990234375,4519.5,-112.7
MA_Crossover(10/50),LONG,2026-06-02 00:25:00,2026-06-02 01:05:00,4519.5,4512.39990234375,-72.7
MA_Crossover(10/50),SHORT,2026-06-02 01:05:00,2026-06-02 01:15:00,4512.39990234375,4519.7001953125,-74.7
MA_Crossover(10/50),LONG,2026-06-02 01:15:00,2026-06-02 01:25:00,4519.7001953125,4513.89990234375,-59.7
MA_Crossover(10/50),SHORT,2026-06-02 01:25:00,2026-06-02 01:30:00,4513.89990234375,4516.60009765625,-28.7
MA_Crossover(10/50),LONG,2026-06-02 01:30:00,2026-06-02 01:45:00,4516.60009765625,4509.10009765625,-76.7
MA_Crossover(10/50),SHORT,2026-06-02 01:45:00,2026-06-02 03:10:00,4509.10009765625,4516.7001953125,-77.7
MA_Crossover(10/50),LONG,2026-06-02 03:10:00,2026-06-02 12:15:00,4516.7001953125,4555.2998046875,384.3
MA_Crossover(10/50),SHORT,2026-06-02 12:15:00,2026-06-02 12:25:00,4555.2998046875,4560.7998046875,-56.7
MA_Crossover(10/50),LONG,2026-06-02 12:25:00,2026-06-02 12:40:00,4560.7998046875,4554.5,-64.7
MA_Crossover(10/50),SHORT,2026-06-02 12:40:00,2026-06-03 00:45:00,4554.5,4524.2001953125,301.3
MA_Crossover(10/50),LONG,2026-06-03 00:45:00,2026-06-03 01:05:00,4524.2001953125,4501.5,-228.7
MA_Crossover(10/50),SHORT,2026-06-03 01:05:00,2026-06-03 03:05:00,4501.5,4514.2001953125,-128.7
MA_Crossover(10/50),LONG,2026-06-03 03:05:00,2026-06-03 04:35:00,4514.2001953125,4502.60009765625,-117.7
MA_Crossover(10/50),SHORT,2026-06-03 04:35:00,2026-06-03 10:40:00,4502.60009765625,4487.39990234375,150.3
MA_Crossover(10/50),LONG,2026-06-03 10:40:00,2026-06-03 10:45:00,4487.39990234375,4482.7001953125,-48.7
MA_Crossover(10/50),SHORT,2026-06-03 10:45:00,2026-06-03 10:55:00,4482.7001953125,4487.89990234375,-53.7
MA_Crossover(10/50),LONG,2026-06-03 10:55:00,2026-06-03 12:30:00,4487.89990234375,4481.10009765625,-69.7
MA_Crossover(10/50),SHORT,2026-06-03 12:30:00,2026-06-03 13:05:00,4481.10009765625,4491.7001953125,-107.7
MA_Crossover(10/50),LONG,2026-06-03 13:05:00,2026-06-03 13:25:00,4491.7001953125,4478.39990234375,-134.7
MA_Crossover(10/50),SHORT,2026-06-03 13:25:00,2026-06-03 19:10:00,4478.39990234375,4475.5,27.3
MA_Crossover(10/50),LONG,2026-06-03 19:10:00,2026-06-03 20:20:00,4475.5,4466.0,-96.7
MA_Crossover(10/50),SHORT,2026-06-03 20:20:00,2026-06-03 23:10:00,4466.0,4474.2998046875,-84.7
MA_Crossover(10/50),LONG,2026-06-03 23:10:00,2026-06-04 07:10:00,4474.2998046875,4492.7001953125,182.3
MA_Crossover(10/50),SHORT,2026-06-04 07:10:00,2026-06-04 09:45:00,4492.7001953125,4495.7001953125,-31.7
MA_Crossover(10/50),LONG,2026-06-04 09:45:00,2026-06-04 14:35:00,4495.7001953125,4511.60009765625,157.3
MA_Crossover(10/50),SHORT,2026-06-04 14:35:00,2026-06-04 20:10:00,4511.60009765625,4507.39990234375,40.3
MA_Crossover(10/50),LONG,2026-06-04 20:10:00,2026-06-04 20:15:00,4507.39990234375,4506.0,-15.7
MA_Crossover(10/50),SHORT,2026-06-04 20:15:00,2026-06-05 06:50:00,4506.0,4480.7001953125,251.3
MA_Crossover(10/50),LONG,2026-06-05 06:50:00,2026-06-05 12:40:00,4480.7001953125,4470.2998046875,-105.7
MA_Crossover(10/50),SHORT,2026-06-05 12:40:00,2026-06-07 23:35:00,4470.2998046875,4358.2998046875,1118.3
MA_Crossover(10/50),LONG,2026-06-07 23:35:00,2026-06-08 01:20:00,4358.2998046875,4341.89990234375,-165.7
MA_Crossover(10/50),SHORT,2026-06-08 01:20:00,2026-06-08 10:45:00,4341.89990234375,4329.5,122.3
MA_Crossover(10/50),LONG,2026-06-08 10:45:00,2026-06-08 19:15:00,4329.5,4354.0,243.3
MA_Crossover(10/50),SHORT,2026-06-08 19:15:00,2026-06-09 01:30:00,4354.0,4359.89990234375,-60.7
MA_Crossover(10/50),LONG,2026-06-09 01:30:00,2026-06-09 04:35:00,4359.89990234375,4349.60009765625,-104.7
MA_Crossover(10/50),SHORT,2026-06-09 04:35:00,2026-06-09 05:25:00,4349.60009765625,4357.7998046875,-83.7
MA_Crossover(10/50),LONG,2026-06-09 05:25:00,2026-06-09 07:05:00,4357.7998046875,4355.7998046875,-21.7
MA_Crossover(10/50),SHORT,2026-06-09 07:05:00,2026-06-09 10:20:00,4355.7998046875,4358.60009765625,-29.7
MA_Crossover(10/50),LONG,2026-06-09 10:20:00,2026-06-09 13:35:00,4358.60009765625,4354.10009765625,-46.7
MA_Crossover(10/50),SHORT,2026-06-09 13:35:00,2026-06-09 13:50:00,4354.10009765625,4377.39990234375,-234.7
MA_Crossover(10/50),LONG,2026-06-09 13:50:00,2026-06-09 14:00:00,4377.39990234375,4352.89990234375,-246.7
