strategy,direction,entry_time,exit_time,entry_price,exit_price,net_pnl
MA_Crossover(10/50),SHORT,2020-09-23 00:00:00,2020-09-24 00:00:00,10534.02,10733.7,-6444.4
Donchian_Breakout(20),LONG,2020-10-20 00:00:00,2020-10-28 00:00:00,11753.54,13272.54,37972.32
MACD_Momentum(12/26/9),LONG,2020-10-19 00:00:00,2020-10-28 00:00:00,11499.35,13272.54,45451.4
"Parabolic_SAR(af=0.02,max=0.2)",SHORT,2020-09-24 00:00:00,2020-09-24 00:00:00,10243.26,10733.7,-15132.33
"RSI_Reversion(14,30/70)",LONG,2020-10-07 00:00:00,2020-10-09 00:00:00,10603.52,10922.97,8276.17
"RSI_Reversion(14,30/70)",SHORT,2020-10-22 00:00:00,2020-10-24 00:00:00,12791.59,13114.57,-9024.56
"Bollinger_Reversion(20,2sd)",SHORT,2020-10-12 00:00:00,2020-10-19 00:00:00,11372.59,11749.41,-10703.17
"ZScore_Reversion(20,z=2.0)",SHORT,2020-10-12 00:00:00,2020-10-19 00:00:00,11372.59,11749.41,-10703.17
"Stochastic_Reversion(14,20/80)",SHORT,2020-10-11 00:00:00,2020-10-12 00:00:00,11292.42,11537.41,-7267.19
"CCI_Reversion(20,100)",SHORT,2020-10-12 00:00:00,2020-10-17 00:00:00,11372.59,11322.06,584.08
"CCI_Reversion(20,100)",SHORT,2020-10-20 00:00:00,2020-10-21 00:00:00,11753.54,12791.6,-27438.64
"ATR_Vol_Breakout(14,k=1.5)",LONG,2020-10-22 00:00:00,2020-10-28 00:00:00,12791.59,13272.54,10515.11
"Supertrend(10,m=3.0)",SHORT,2020-10-02 00:00:00,2020-10-05 00:00:00,10620.25,10792.5,-5622.35
"Keltner_Breakout(20,m=2.0)",LONG,2020-10-22 00:00:00,2020-10-28 00:00:00,12791.59,13272.54,10515.11
"VWAP_Reversion(20,2%)",SHORT,2020-10-12 00:00:00,2020-10-19 00:00:00,11372.59,11749.41,-10703.17
Engulfing_Reversal(0.3),LONG,2020-09-25 00:00:00,2020-10-01 00:00:00,10737.93,10621.0,-4013.31
Inside_Bar_Breakout(0.6),LONG,2020-10-09 00:00:00,2020-10-16 00:00:00,10922.97,11322.06,10196.78
VolProfile_Reversion(30),SHORT,2020-10-23 00:00:00,2020-10-27 00:00:00,12968.48,13641.28,-16333.81
"TPO_Reversion(60,p=5)",SHORT,2020-11-22 00:00:00,2020-11-24 00:00:00,18705.91,19192.8,-8568.68
