strategy,direction,entry_time,exit_time,entry_price,exit_price,net_pnl
MA_Crossover(10/50),SHORT,2021-04-21 00:00:00,2021-04-21 00:00:00,32.32,34.94,-25285.35
Donchian_Breakout(20),LONG,2021-05-19 00:00:00,2021-05-19 00:00:00,56.2,35.18,-112922.91
MACD_Momentum(12/26/9),SHORT,2021-05-17 00:00:00,2021-05-17 00:00:00,46.37,47.37,-7357.18
"Parabolic_SAR(af=0.02,max=0.2)",LONG,2021-04-22 00:00:00,2021-04-23 00:00:00,33.86,37.28,29336.16
"RSI_Reversion(14,30/70)",SHORT,2021-05-05 00:00:00,2021-05-05 00:00:00,42.6,44.95,-17460.83
"Bollinger_Reversion(20,2sd)",SHORT,2021-05-19 00:00:00,2021-05-20 00:00:00,56.2,35.13,111757.14
"Bollinger_Reversion(20,2sd)",LONG,2021-05-23 00:00:00,2021-05-23 00:00:00,31.23,24.31,-142583.65
"ZScore_Reversion(20,z=2.0)",SHORT,2021-05-19 00:00:00,2021-05-20 00:00:00,56.2,35.13,111757.14
"ZScore_Reversion(20,z=2.0)",LONG,2021-05-20 00:00:00,2021-05-21 00:00:00,35.13,44.8,172698.48
"ZScore_Reversion(20,z=2.0)",LONG,2021-05-23 00:00:00,2021-05-23 00:00:00,31.23,24.31,-258867.71
"Stochastic_Reversion(14,20/80)",SHORT,2021-06-11 00:00:00,2021-06-13 00:00:00,41.16,38.66,17348.58
"CCI_Reversion(20,100)",LONG,2021-05-14 00:00:00,2021-05-15 00:00:00,41.14,42.75,10829.88
"CCI_Reversion(20,100)",SHORT,2021-05-17 00:00:00,2021-05-17 00:00:00,46.37,47.37,-8153.96
"ATR_Vol_Breakout(14,k=1.5)",SHORT,2021-05-20 00:00:00,2021-05-20 00:00:00,35.13,44.12,-77788.75
"Supertrend(10,m=3.0)",SHORT,2021-04-30 00:00:00,2021-04-30 00:00:00,42.82,43.49,-5590.06
"Keltner_Breakout(20,m=2.0)",LONG,2021-05-19 00:00:00,2021-05-19 00:00:00,56.2,35.18,-112922.91
"VWAP_Reversion(20,2%)",LONG,2021-05-11 00:00:00,2021-05-12 00:00:00,42.94,43.22,1064.04
Engulfing_Reversal(0.3),LONG,2021-05-12 00:00:00,2021-05-12 00:00:00,44.73,43.22,-10998.91
Inside_Bar_Breakout(0.6),LONG,2021-05-02 00:00:00,2021-05-02 00:00:00,50.35,47.13,-20030.88
VolProfile_Reversion(30),LONG,2021-05-22 00:00:00,2021-05-22 00:00:00,38.86,31.24,-59657.42
"TPO_Reversion(60,p=5)",LONG,2021-06-22 00:00:00,2021-06-24 00:00:00,26.68,30.74,44620.22
"TPO_Reversion(60,p=5)",LONG,2021-06-26 00:00:00,2021-06-27 00:00:00,28.67,29.62,12970.99
"TPO_Reversion(60,p=5)",LONG,2021-07-17 00:00:00,2021-07-19 00:00:00,26.28,26.68,5645.22
"TPO_Reversion(60,p=5)",LONG,2021-07-20 00:00:00,2021-07-20 00:00:00,24.53,23.52,-21761.67
