strategy,direction,entry_time,exit_time,entry_price,exit_price,net_pnl
MA_Crossover(10/50),SHORT,2016-08-11 00:00:00,2016-08-12 00:00:00,18450.0,18565.0,-61.0
MA_Crossover(10/50),LONG,2016-08-12 00:00:00,2016-09-01 00:00:00,18565.0,18393.0,-89.5
MA_Crossover(10/50),SHORT,2016-09-01 00:00:00,2016-09-08 00:00:00,18393.0,18515.0,-64.5
MA_Crossover(10/50),LONG,2016-09-08 00:00:00,2016-09-12 00:00:00,18515.0,18027.0,-247.5
MA_Crossover(10/50),SHORT,2016-09-12 00:00:00,2016-11-14 00:00:00,18027.0,18806.0,-393.0
MA_Crossover(10/50),LONG,2016-11-14 00:00:00,2018-02-12 00:00:00,18806.0,24251.0,2719.0
MA_Crossover(10/50),SHORT,2018-02-12 00:00:00,2018-02-20 00:00:00,24251.0,25228.0,-492.0
MA_Crossover(10/50),LONG,2018-02-20 00:00:00,2018-02-22 00:00:00,25228.0,24783.0,-226.0
MA_Crossover(10/50),SHORT,2018-02-22 00:00:00,2018-02-26 00:00:00,24783.0,25328.0,-276.0
MA_Crossover(10/50),LONG,2018-02-26 00:00:00,2018-03-05 00:00:00,25328.0,24483.0,-426.0
MA_Crossover(10/50),SHORT,2018-03-05 00:00:00,2018-03-12 00:00:00,24483.0,25335.0,-429.5
MA_Crossover(10/50),LONG,2018-03-12 00:00:00,2018-03-15 00:00:00,25335.0,24784.0,-279.0
MA_Crossover(10/50),SHORT,2018-03-15 00:00:00,2018-05-15 00:00:00,24784.0,24868.0,-45.5
MA_Crossover(10/50),LONG,2018-05-15 00:00:00,2018-06-27 00:00:00,24868.0,24279.0,-298.0
MA_Crossover(10/50),SHORT,2018-06-27 00:00:00,2018-07-16 00:00:00,24279.0,25025.0,-376.5
MA_Crossover(10/50),LONG,2018-07-16 00:00:00,2018-10-16 00:00:00,25025.0,25166.0,67.0
MA_Crossover(10/50),SHORT,2018-10-16 00:00:00,2019-01-28 00:00:00,25166.0,24665.0,247.0
MA_Crossover(10/50),LONG,2019-01-28 00:00:00,2019-05-14 00:00:00,24665.0,25278.0,303.0
MA_Crossover(10/50),SHORT,2019-05-14 00:00:00,2019-06-14 00:00:00,25278.0,26129.0,-429.0
MA_Crossover(10/50),LONG,2019-06-14 00:00:00,2019-08-07 00:00:00,26129.0,25897.0,-119.5
MA_Crossover(10/50),SHORT,2019-08-07 00:00:00,2019-09-09 00:00:00,25897.0,26807.0,-458.5
MA_Crossover(10/50),LONG,2019-09-09 00:00:00,2019-10-04 00:00:00,26807.0,26160.0,-327.0
MA_Crossover(10/50),SHORT,2019-10-04 00:00:00,2019-10-16 00:00:00,26160.0,27000.0,-423.5
MA_Crossover(10/50),LONG,2019-10-16 00:00:00,2020-02-26 00:00:00,27000.0,27124.0,58.5
MA_Crossover(10/50),SHORT,2020-02-26 00:00:00,2020-05-21 00:00:00,27124.0,24545.0,1286.0
MA_Crossover(10/50),LONG,2020-05-21 00:00:00,2020-09-28 00:00:00,24545.0,27060.0,1254.0
MA_Crossover(10/50),SHORT,2020-09-28 00:00:00,2020-09-30 00:00:00,27060.0,27354.0,-150.5
MA_Crossover(10/50),LONG,2020-09-30 00:00:00,2020-10-29 00:00:00,27354.0,26482.0,-439.5
MA_Crossover(10/50),SHORT,2020-10-29 00:00:00,2020-11-10 00:00:00,26482.0,29092.0,-1308.5
MA_Crossover(10/50),LONG,2020-11-10 00:00:00,2021-09-20 00:00:00,29092.0,34400.0,2650.5
MA_Crossover(10/50),SHORT,2021-09-20 00:00:00,2021-10-19 00:00:00,34400.0,35121.0,-364.0
MA_Crossover(10/50),LONG,2021-10-19 00:00:00,2021-12-01 00:00:00,35121.0,34524.0,-302.0
MA_Crossover(10/50),SHORT,2021-12-01 00:00:00,2021-12-10 00:00:00,34524.0,35749.0,-616.0
MA_Crossover(10/50),LONG,2021-12-10 00:00:00,2022-01-21 00:00:00,35749.0,34556.0,-600.0
MA_Crossover(10/50),SHORT,2022-01-21 00:00:00,2022-03-29 00:00:00,34556.0,34848.0,-149.5
MA_Crossover(10/50),LONG,2022-03-29 00:00:00,2022-04-19 00:00:00,34848.0,34397.0,-229.0
MA_Crossover(10/50),SHORT,2022-04-19 00:00:00,2022-04-20 00:00:00,34397.0,34785.0,-197.5
MA_Crossover(10/50),LONG,2022-04-20 00:00:00,2022-04-26 00:00:00,34785.0,33965.0,-413.5
MA_Crossover(10/50),SHORT,2022-04-26 00:00:00,2022-07-29 00:00:00,33965.0,32567.0,695.5
MA_Crossover(10/50),LONG,2022-07-29 00:00:00,2022-09-02 00:00:00,32567.0,31646.0,-464.0
MA_Crossover(10/50),SHORT,2022-09-02 00:00:00,2022-10-27 00:00:00,31646.0,31951.0,-156.0
MA_Crossover(10/50),LONG,2022-10-27 00:00:00,2023-02-24 00:00:00,31951.0,33139.0,590.5
MA_Crossover(10/50),SHORT,2023-02-24 00:00:00,2023-04-05 00:00:00,33139.0,33626.0,-247.0
MA_Crossover(10/50),LONG,2023-04-05 00:00:00,2023-05-17 00:00:00,33626.0,33094.0,-269.5
MA_Crossover(10/50),SHORT,2023-05-17 00:00:00,2023-05-19 00:00:00,33094.0,33625.0,-269.0
MA_Crossover(10/50),LONG,2023-05-19 00:00:00,2023-05-23 00:00:00,33625.0,33396.0,-118.0
MA_Crossover(10/50),SHORT,2023-05-23 00:00:00,2023-06-08 00:00:00,33396.0,33703.0,-157.0
MA_Crossover(10/50),LONG,2023-06-08 00:00:00,2023-08-25 00:00:00,33703.0,34149.0,219.5
MA_Crossover(10/50),SHORT,2023-08-25 00:00:00,2023-09-05 00:00:00,34149.0,34869.0,-363.5
MA_Crossover(10/50),LONG,2023-09-05 00:00:00,2023-09-07 00:00:00,34869.0,34468.0,-204.0
MA_Crossover(10/50),SHORT,2023-09-07 00:00:00,2023-09-18 00:00:00,34468.0,34930.0,-234.5
